,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,tenure-grp,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,SeniorCitizen_0,SeniorCitizen_1,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
15,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,113.25,7895.15,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,20.65,1022.95,0,49 - 60,1,0,1,0,1,0,1,0,0,0,0,1
17,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,106.7,7382.25,0,61 - 72,0,1,1,0,0,1,1,0,1,0,0,0
18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,55.2,528.35,1,1-12,1,0,0,1,0,1,1,0,0,1,0,0
19,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,90.05,1862.9,0,13 - 24,1,0,1,0,1,0,1,0,0,0,1,0
20,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,39.65,39.65,1,1-12,0,1,1,0,1,0,0,1,0,0,1,0
21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,19.8,202.25,0,1-12,0,1,0,1,1,0,1,0,1,0,0,0
22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.15,20.15,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
23,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,59.9,3505.1,0,49 - 60,1,0,0,1,1,0,1,0,0,1,0,0
24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,59.6,2970.3,0,49 - 60,0,1,0,1,0,1,1,0,0,1,0,0
25,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,55.3,1530.6,0,25 - 36,1,0,1,0,1,0,1,0,1,0,0,0
26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.35,4749.15,1,37 - 48,0,1,0,1,0,1,1,0,0,0,1,0
27,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,30.2,30.2,1,1-12,0,1,0,1,0,1,1,0,0,0,1,0
28,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,90.25,6369.45,0,61 - 72,0,1,0,1,1,0,1,0,0,1,0,0
29,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,64.7,1093.1,1,13 - 24,1,0,1,0,0,1,1,0,0,0,0,1
30,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,96.35,6766.95,0,61 - 72,1,0,0,1,1,0,0,1,0,1,0,0
31,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,95.5,181.65,0,1-12,0,1,0,1,1,0,0,1,0,1,0,0
32,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,66.15,1874.45,0,25 - 36,1,0,0,1,0,1,1,0,0,0,0,1
33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.2,20.2,0,1-12,0,1,1,0,1,0,1,0,1,0,0,0
34,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,45.25,45.25,0,1-12,0,1,1,0,1,0,0,1,1,0,0,0
35,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,99.9,7251.7,0,61 - 72,1,0,0,1,0,1,1,0,1,0,0,0
36,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,69.7,316.9,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
37,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,74.8,3548.3,0,37 - 48,1,0,1,0,1,0,1,0,0,1,0,0
38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,106.35,3549.25,1,25 - 36,0,1,1,0,1,0,1,0,0,0,1,0
39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,97.85,1105.4,1,1-12,1,0,1,0,1,0,1,0,1,0,0,0
40,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,49.55,475.7,0,1-12,0,1,0,1,0,1,1,0,0,0,0,1
41,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,69.2,4872.35,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,20.75,418.25,0,13 - 24,1,0,0,1,0,1,1,0,0,0,0,1
43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,79.85,4861.45,0,61 - 72,1,0,1,0,1,0,1,0,0,1,0,0
44,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,76.2,981.45,0,13 - 24,1,0,0,1,1,0,1,0,0,0,1,0
45,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,84.5,3906.7,0,49 - 60,1,0,1,0,1,0,1,0,0,0,1,0
46,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,49.25,97,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
47,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,80.65,144.15,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
48,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,79.75,4217.8,0,49 - 60,0,1,1,0,1,0,1,0,0,1,0,0
49,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,64.15,4254.1,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
50,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,90.25,3838.75,0,37 - 48,1,0,1,0,1,0,0,1,0,0,1,0
51,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.1,1426.4,1,13 - 24,1,0,1,0,1,0,1,0,0,1,0,0
52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,69.5,1752.65,0,25 - 36,1,0,0,1,1,0,0,1,0,1,0,0
53,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,80.65,633.3,1,1-12,1,0,0,1,1,0,0,1,0,1,0,0
54,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,74.85,4456.35,0,49 - 60,1,0,0,1,0,1,0,1,0,1,0,0
55,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,95.45,1752.55,1,13 - 24,0,1,1,0,1,0,0,1,0,0,1,0
56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,99.65,6311.2,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,108.45,7076.35,0,61 - 72,0,1,0,1,0,1,0,1,0,0,1,0
58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,24.95,894.3,0,25 - 36,1,0,0,1,0,1,1,0,0,1,0,0
59,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,107.5,7853.7,0,61 - 72,1,0,1,0,1,0,1,0,0,1,0,0
60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,100.5,4707.1,0,37 - 48,1,0,0,1,1,0,1,0,0,0,1,0
61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,89.9,5450.7,0,49 - 60,0,1,1,0,1,0,1,0,1,0,0,0
62,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,42.1,2962,0,61 - 72,0,1,0,1,1,0,1,0,1,0,0,0
63,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,54.4,957.1,0,13 - 24,1,0,0,1,0,1,1,0,0,1,0,0
64,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,94.4,857.25,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
65,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,75.3,244.1,0,1-12,1,0,1,0,1,0,1,0,0,0,1,0
66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,78.9,3650.35,0,37 - 48,0,1,0,1,1,0,1,0,0,0,1,0
67,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,79.2,2497.2,0,25 - 36,1,0,1,0,1,0,1,0,0,0,0,1
68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.15,930.9,0,49 - 60,1,0,0,1,0,1,1,0,1,0,0,0
69,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,79.85,887.35,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
70,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,49.05,49.05,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,20.4,1090.65,0,49 - 60,1,0,0,1,0,1,1,0,0,0,1,0
72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,111.6,7099,0,61 - 72,0,1,0,1,0,1,0,1,1,0,0,0
73,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,24.25,1424.6,0,61 - 72,0,1,0,1,0,1,1,0,1,0,0,0
74,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,64.5,177.4,0,1-12,1,0,1,0,0,1,1,0,1,0,0,0
75,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,110.5,6139.5,0,49 - 60,1,0,1,0,1,0,0,1,0,0,1,0
76,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,55.65,2688.85,0,37 - 48,1,0,1,0,1,0,1,0,0,1,0,0
77,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,54.65,482.25,0,1-12,1,0,0,1,0,1,1,0,0,0,0,1
78,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,74.75,2111.3,0,25 - 36,0,1,1,0,1,0,0,1,0,0,1,0
79,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,25.9,1216.6,0,37 - 48,1,0,0,1,0,1,1,0,0,1,0,0
80,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,79.35,79.35,1,1-12,1,0,1,0,0,1,1,0,0,0,1,0
81,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,50.55,565.35,0,1-12,1,0,0,1,0,1,1,0,0,0,1,0
82,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,75.15,496.9,1,1-12,1,0,0,1,1,0,1,0,1,0,0,0
83,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,103.8,4327.5,0,37 - 48,1,0,1,0,1,0,1,0,1,0,0,0
84,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,20.15,973.35,0,49 - 60,1,0,0,1,1,0,1,0,1,0,0,0
85,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,99.3,918.75,0,1-12,0,1,1,0,1,0,1,0,0,1,0,0
86,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,62.15,2215.45,0,25 - 36,1,0,0,1,1,0,1,0,1,0,0,0
87,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.65,1057,0,37 - 48,1,0,0,1,0,1,1,0,1,0,0,0
88,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,19.95,927.1,0,37 - 48,1,0,0,1,0,1,1,0,0,0,0,1
89,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,33.75,1009.25,0,25 - 36,0,1,0,1,1,0,1,0,0,0,0,1
90,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,82.05,2570.2,0,25 - 36,0,1,0,1,0,1,1,0,1,0,0,0
91,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,74.7,74.7,0,1-12,0,1,1,0,1,0,0,1,0,0,1,0
92,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,84,5714.25,0,61 - 72,0,1,0,1,0,1,1,0,0,0,0,1
93,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,111.05,7107,0,61 - 72,1,0,1,0,1,0,1,0,0,1,0,0
94,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,100.9,7459.05,0,61 - 72,0,1,1,0,1,0,1,0,1,0,0,0
95,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,78.95,927.35,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
96,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,66.85,4748.7,0,61 - 72,0,1,0,1,0,1,1,0,0,1,0,0
97,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,21.05,113.85,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
98,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,21,1107.2,0,49 - 60,0,1,1,0,1,0,1,0,1,0,0,0
99,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,98.5,2514.5,1,25 - 36,1,0,0,1,1,0,0,1,0,0,1,0
100,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.2,20.2,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
101,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.45,19.45,0,1-12,1,0,0,1,0,1,1,0,0,0,1,0
102,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,95,3605.6,0,37 - 48,0,1,1,0,1,0,1,0,1,0,0,0
103,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,45.55,3027.25,0,61 - 72,1,0,0,1,1,0,0,1,1,0,0,0
104,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,110,7611.85,1,61 - 72,0,1,0,1,1,0,1,0,1,0,0,0
105,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,24.3,100.2,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
106,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,104.15,7303.05,0,61 - 72,1,0,0,1,0,1,1,0,0,0,1,0
107,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,30.15,927.65,0,25 - 36,1,0,1,0,1,0,1,0,0,0,0,1
108,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,94.35,3921.3,0,37 - 48,0,1,1,0,1,0,1,0,0,0,0,1
109,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,19.4,1363.25,0,61 - 72,0,1,0,1,0,1,1,0,0,1,0,0
110,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,96.75,5238.9,1,49 - 60,0,1,0,1,1,0,1,0,0,0,1,0
111,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,57.95,3042.25,0,49 - 60,1,0,1,0,1,0,1,0,0,1,0,0
112,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,91.65,3954.1,0,37 - 48,1,0,1,0,1,0,1,0,0,0,1,0
113,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,76.5,2868.15,1,37 - 48,1,0,0,1,1,0,0,1,0,0,1,0
114,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,54.6,3423.5,0,61 - 72,1,0,0,1,0,1,1,0,0,0,1,0
115,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,89.85,248.4,0,1-12,0,1,0,1,0,1,1,0,0,0,1,0
116,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,31.05,1126.35,0,25 - 36,1,0,1,0,1,0,1,0,1,0,0,0
117,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,100.25,1064.65,1,1-12,1,0,0,1,0,1,1,0,0,0,1,0
118,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.65,835.15,0,37 - 48,1,0,1,0,1,0,1,0,0,0,0,1
119,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,85.2,2151.6,0,25 - 36,0,1,0,1,0,1,1,0,0,1,0,0
120,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,99.8,5515.45,0,49 - 60,1,0,0,1,0,1,1,0,0,1,0,0
121,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.7,112.75,0,1-12,1,0,1,0,1,0,1,0,0,0,0,1
122,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,74.4,229.55,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
123,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,50.7,350.35,0,1-12,1,0,0,1,0,1,1,0,0,0,0,1
124,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,20.85,62.9,0,1-12,1,0,0,1,0,1,1,0,0,0,0,1
125,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,88.95,3027.65,0,25 - 36,0,1,1,0,1,0,1,0,0,0,1,0
126,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,78.05,2135.5,1,25 - 36,1,0,1,0,1,0,0,1,0,0,1,0
127,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,23.55,1723.95,0,61 - 72,0,1,0,1,1,0,1,0,1,0,0,0
128,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.75,19.75,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
129,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,56.45,3985.35,0,61 - 72,0,1,1,0,1,0,0,1,0,0,1,0
130,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,85.95,1215.65,0,13 - 24,1,0,1,0,1,0,1,0,0,0,1,0
131,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,58.6,1502.65,1,25 - 36,1,0,0,1,0,1,1,0,0,1,0,0
132,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,50.55,3260.1,0,61 - 72,0,1,1,0,1,0,1,0,1,0,0,0
133,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,35.45,35.45,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
134,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,44.35,81.25,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
135,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,25.7,1188.2,0,37 - 48,1,0,1,0,1,0,1,0,0,1,0,0
136,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,75,1778.5,0,13 - 24,1,0,1,0,1,0,1,0,1,0,0,0
137,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,20.2,1277.75,0,61 - 72,1,0,0,1,0,1,1,0,0,0,0,1
138,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,19.6,1170.55,0,49 - 60,0,1,1,0,0,1,1,0,0,0,0,1
139,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,70.45,70.45,1,1-12,1,0,0,1,1,0,0,1,0,0,0,1
140,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,88.05,6425.65,0,61 - 72,1,0,0,1,0,1,0,1,0,1,0,0
141,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,71.15,563.65,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
142,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,101.05,5971.25,0,61 - 72,1,0,0,1,1,0,1,0,1,0,0,0
143,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,84.3,5289.05,0,61 - 72,0,1,1,0,1,0,1,0,0,1,0,0
144,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,23.95,1756.2,0,61 - 72,0,1,0,1,1,0,0,1,1,0,0,0
145,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,99.05,6416.7,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
146,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,19.6,61.35,0,1-12,0,1,1,0,1,0,1,0,0,0,0,1
147,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,45.65,45.65,1,1-12,0,1,1,0,1,0,1,0,0,0,1,0
148,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,64.5,1929.95,0,25 - 36,0,1,1,0,0,1,1,0,0,1,0,0
149,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,69.5,1071.4,0,13 - 24,0,1,0,1,0,1,1,0,0,0,0,1
150,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,68.55,564.35,0,1-12,1,0,0,1,0,1,1,0,0,0,1,0
151,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,95,655.5,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
152,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,108.15,7930.55,0,61 - 72,1,0,0,1,0,1,1,0,0,1,0,0
153,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,86.1,5215.25,0,61 - 72,0,1,0,1,0,1,1,0,0,0,1,0
154,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,19.7,113.5,0,1-12,1,0,0,1,0,1,1,0,0,0,0,1
155,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,80.9,1152.8,0,13 - 24,1,0,0,1,0,1,1,0,1,0,0,0
156,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,84.15,1821.95,0,13 - 24,1,0,1,0,1,0,1,0,1,0,0,0
157,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,20.15,419.9,0,13 - 24,0,1,0,1,0,1,1,0,0,0,0,1
158,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,64.25,1024,0,13 - 24,0,1,0,1,0,1,1,0,0,0,0,1
159,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,25.7,251.6,0,1-12,0,1,1,0,1,0,1,0,1,0,0,0
160,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,56,764.55,0,13 - 24,1,0,1,0,0,1,1,0,0,0,1,0
161,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,82.4,1592.35,1,13 - 24,1,0,0,1,1,0,1,0,0,0,1,0
162,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,69.7,135.2,0,1-12,1,0,1,0,1,0,1,0,0,0,1,0
163,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,73.9,3958.25,0,49 - 60,0,1,1,0,1,0,1,0,1,0,0,0
164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,20.6,233.9,0,1-12,1,0,0,1,0,1,1,0,0,0,0,1
